uid;addressAdminUnitL1;addressAdminUnitL2;district;addressPostName;addressThoroughfareType;addressThoroughfare;addressLocatorDesignator
{680C2724-347C-439F-BD4E-B25180C000A3};Україна;місто Київ;Святошинський;Київ;вулиця;Авіаконструктора Петра Балабуєва;37-Д
{B63FE0EB-45BB-4742-84E0-1F6720049E79};Україна;місто Київ;Святошинський;Київ;вулиця;Авіаконструктора Петра Балабуєва;37-Г
{565C3006-0B41-47D6-934E-78CFDCDB6804};Україна;місто Київ;Святошинський;Київ;вулиця;Авіаконструктора Петра Балабуєва;37-В
{D8A6C8F1-BD10-4F91-8DB6-5D704E44EE19};Україна;місто Київ;Голосіївський;Київ;вулиця;Андрія Меленського;4-А
{68A17790-E81D-4EA5-A7BB-8A1496E2E9C8};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;5
{47B33160-17D2-4A32-A1F5-49399CC94C3C};Україна;місто Київ;Голосіївський;Київ;вулиця;Братів Шеметів;7
{E54CCEEE-07FF-4AE2-9823-C0A47C61376A};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;19
{5BB345C9-11BE-4B9D-B056-B0B2D7412436};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;13
{7EEBAC32-5D62-4EAA-A075-F09611A4A98E};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;17
{96AAEEB5-37BF-4D2C-B9C0-F817FB5493A1};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;9
{B58FA626-77FA-4338-9375-C4938037C154};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;14
{0AC3186D-DB80-4718-B03B-5CD0624FE6B9};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;23
{5300E01C-8639-4AB8-861B-9B4B86E57A56};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;7
{1934E200-9601-45FC-850D-2ACDEB02A680};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;24
{79310CED-E2E4-4C9E-B308-4E9ABD659423};Україна;місто Київ;Солом'янський;Київ;провулок;Ізяславський;26
